threshold,precision,recall,auc,F1,TP,FP,TN,FN
0.1,0.39,1,0.88,0.56,77,118,813,0
0.2,0.43,1,0.9,0.6,77,103,828,0
0.3,0.45,1,0.91,0.62,77,94,837,0
0.4,0.48,1,0.92,0.65,77,82,849,0
0.5,0.5,1,0.92,0.67,77,76,855,0
0.6,0.53,1,0.93,0.69,77,67,864,0
0.7,0.55,1,0.94,0.71,77,64,867,0
0.8,0.58,1,0.94,0.73,77,56,875,0
0.9,0.74,1,0.97,0.82,77,33,898,0
